orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_monitoring-stack-smart-plug-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,server_115_disk_reads_6g-sandbox-engine-worker-1,orin_memory_ubuntu,orin_memory_[none],orin_memory_[none],orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,server_115_memory_ubuntu,server_115_memory_ubuntu,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,server_115_network_sent_6g-sandbox-engine-worker-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,server_115_network_received_6g-sandbox-engine-worker-1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,orin_temp,orin_memory,server_115_memory,orin_disk_writes,server_115_disk_writes,orin_disk_reads,server_115_disk_reads,orin_network_sent,server_115_network_sent,orin_network_received,server_115_network_received,orin_power,orin_cpu,server_115_cpu
0,0,0,0,,0,264679440,78397440,1133481980,,17880370000,,1240415460,7752358.222722,0,1630.60296,7059567.8,,352053.22544,740377.822,0,1021.81452,328767.26,,182204.872938,0.3584568,3.0298612,10.7951088,78.31807,0.389827,214.457012,,44.2966666666667,22765.622,1702.3546,-3463.92562,-28,4.00003,0,-1150.35048,-2533.7616,2706.8202,1140.92736,14.829,72.8455297,23.8078551
0,0,0,0,,0,264679440,78397440,1133481980,,17880370000,,1240415460,7752358.222722,0,1630.60296,7059567.8,,352053.22544,740377.822,0,1021.81452,328767.26,,182204.872938,0.3584568,3.0298612,10.7951088,78.31807,0.389827,214.457012,,44.2966666666667,22765.622,1702.3546,-3463.92562,-28,4.00003,0,-1150.35048,-2533.7616,2706.8202,1140.92736,14.829,72.8455297,23.8078551
0,0,0,0,,0,264679440,78397440,1133481980,,17880370000,,1240415460,7752358.222722,0,1630.60296,7059567.8,,352053.22544,740377.822,0,1021.81452,328767.26,,182204.872938,0.3584568,3.0298612,10.7951088,78.31807,0.389827,214.457012,,44.2966666666667,22765.622,1702.3546,-3463.92562,-28,4.00003,0,-1150.35048,-2533.7616,2706.8202,1140.92736,14.829,72.8455297,23.8078551
0,0,0,0,,0,264679440,78397440,1133481980,,17880370000,,1240415460,7752358.222722,0,1630.60296,7059567.8,,352053.22544,740377.822,0,1021.81452,328767.26,,182204.872938,0.3584568,3.0298612,10.7951088,78.31807,0.389827,214.457012,,44.2966666666667,22765.622,1702.3546,-3463.92562,-28,4.00003,0,-1150.35048,-2533.7616,2706.8202,1140.92736,14.829,72.8455297,23.8078551
0,0,0,0,,0,264679440,78397440,1133481980,,17880370000,,1240415460,7752358.222722,0,1630.60296,7059567.8,,352053.22544,740377.822,0,1021.81452,328767.26,,182204.872938,0.3584568,3.0298612,10.7951088,78.31807,0.389827,214.457012,,44.2966666666667,22765.622,1702.3546,-3463.92562,-28,4.00003,0,-1150.35048,-2533.7616,2706.8202,1140.92736,14.829,72.8455297,23.8078551
0,0,0,0,,0,266838840,78397440,1133568820,,14651546000,,1240423600,7004689.914,13.2,1562.564,6189967.8,,272418.84428,819623.638826,13.2,883.50132,294714.958,,144842.9,0.3707088,3.1451872,10.1194714,74.74089,0.330708,247.570308,,44.2966666666667,18800.894,1703.5672,-10054.14392,-47.120002,4.00001,0,-1172.82746,-2568.4882,2748.084,1160.6375,14.829,72.9952102,20.527904
0,0,0,0,,0,266838840,78397440,1133568820,,14651546000,,1240423600,7004689.914,13.2,1562.564,6189967.8,,272418.84428,819623.638826,13.2,883.50132,294714.958,,144842.9,0.3707088,3.1451872,10.1194714,74.74089,0.330708,247.570308,,44.2966666666667,18800.894,1703.5672,-10054.14392,-47.120002,4.00001,0,-1172.82746,-2568.4882,2748.084,1160.6375,14.829,72.9952102,20.527904
0,0,0,0,,0,266838840,78397440,1133568820,,14651546000,,1240423600,7004689.914,13.2,1562.564,6189967.8,,272418.84428,819623.638826,13.2,883.50132,294714.958,,144842.9,0.3707088,3.1451872,10.1194714,74.74089,0.330708,247.570308,,44.2966666666667,18800.894,1703.5672,-10054.14392,-47.120002,4.00001,0,-1172.82746,-2568.4882,2748.084,1160.6375,14.829,72.9952102,20.527904
0,0,0,0,,0,266838840,78397440,1133568820,,14651546000,,1240423600,7004689.914,13.2,1562.564,6189967.8,,272418.84428,819623.638826,13.2,883.50132,294714.958,,144842.9,0.3707088,3.1451872,10.1194714,74.74089,0.330708,247.570308,,44.2966666666667,18800.894,1703.5672,-10054.14392,-47.120002,4.00001,0,-1172.82746,-2568.4882,2748.084,1160.6375,14.829,72.9952102,20.527904
0,0,0,0,,0,266838840,78397440,1133568820,,14651546000,,1240423600,7004689.914,13.2,1562.564,6189967.8,,272418.84428,819623.638826,13.2,883.50132,294714.958,,144842.9,0.3707088,3.1451872,10.1194714,74.74089,0.330708,247.570308,,44.2966666666667,18800.894,1703.5672,-10054.14392,-47.120002,4.00001,0,-1172.82746,-2568.4882,2748.084,1160.6375,14.829,72.9952102,20.527904
