orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_memory_[none],orin_memory_6g-sandbox-prometheus-1,orin_memory_monitoring-stack-smart-plug-1,orin_memory_powerstorm_marketing-campaign_0_client,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,xavier_cpu_6g-sandbox-engine-worker-1,xavier_cpu_monitoring-stack-smart-plug-1,raspberrypi5_cpu_6g-sandbox-engine-worker-1,raspberrypi5_cpu_monitoring-stack_smart-plug_1,orin_temp,xavier_temp,raspberrypi5_temp,orin_memory,xavier_memory,raspberrypi5_memory,orin_disk_writes,xavier_disk_writes,raspberrypi5_disk_writes,orin_disk_reads,xavier_disk_reads,raspberrypi5_disk_reads,orin_network_sent,xavier_network_sent,raspberrypi5_network_sent,orin_network_received,xavier_network_received,raspberrypi5_network_received,orin_power,xavier_power,raspberrypi5_power,orin_cpu,xavier_cpu,raspberrypi5_cpu
0,0,0,101787238,930484200,32346930,5146280600,8680382.02846,0,1549.60014,9201690.4,683337.724428,0,937.8,496697.9,0.3539208,1.8932532,0.5815136,78.253118,0.392136,237.815566,28.5933084,1.3090103,4.5868714,0.2363435,42.841,45.15,41.9725,8161.6,1484.53282,1135.91248,-49841.82636,-45.01547,-16.8,0,65.5618,0,-356.6343042,-180.3419804,-117.2943394,368.5277366,13.0777756,10.387697,14.108,3.759,4.177,72.246157,20.9821023,2.4595609
0,0,0,101787238,930484200,32346930,5146280600,8680382.02846,0,1549.60014,9201690.4,683337.724428,0,937.8,496697.9,0.3539208,1.8932532,0.5815136,78.253118,0.392136,237.815566,28.5933084,1.3090103,4.5868714,0.2363435,42.841,45.15,41.9725,8161.6,1484.53282,1135.91248,-49841.82636,-45.01547,-16.8,0,65.5618,0,-356.6343042,-180.3419804,-117.2943394,368.5277366,13.0777756,10.387697,14.108,3.759,4.177,72.246157,20.9821023,2.4595609
0,0,0,101787238,930484200,32346930,5146280600,8680382.02846,0,1549.60014,9201690.4,683337.724428,0,937.8,496697.9,0.3539208,1.8932532,0.5815136,78.253118,0.392136,237.815566,28.5933084,1.3090103,4.5868714,0.2363435,42.841,45.15,41.9725,8161.6,1484.53282,1135.91248,-49841.82636,-45.01547,-16.8,0,65.5618,0,-356.6343042,-180.3419804,-117.2943394,368.5277366,13.0777756,10.387697,14.108,3.759,4.177,72.246157,20.9821023,2.4595609
0,0,0,101787238,930484200,32346930,5146280600,8680382.02846,0,1549.60014,9201690.4,683337.724428,0,937.8,496697.9,0.3539208,1.8932532,0.5815136,78.253118,0.392136,237.815566,28.5933084,1.3090103,4.5868714,0.2363435,42.841,45.15,41.9725,8161.6,1484.53282,1135.91248,-49841.82636,-45.01547,-16.8,0,65.5618,0,-356.6343042,-180.3419804,-117.2943394,368.5277366,13.0777756,10.387697,14.108,3.759,4.177,72.246157,20.9821023,2.4595609
0,0,0,101787238,930484200,32346930,5146280600,8680382.02846,0,1549.60014,9201690.4,683337.724428,0,937.8,496697.9,0.3539208,1.8932532,0.5815136,78.253118,0.392136,237.815566,28.5933084,1.3090103,4.5868714,0.2363435,42.841,45.15,41.9725,8161.6,1484.53282,1135.91248,-49841.82636,-45.01547,-16.8,0,65.5618,0,-356.6343042,-180.3419804,-117.2943394,368.5277366,13.0777756,10.387697,14.108,3.759,4.177,72.246157,20.9821023,2.4595609
0,0,0,107150540,930569440,32346110,5165474600,7553920.45738,0,1625.98944,6465046.4,697895.38228,0,893.98106,403611.28,0.3464704,1.8900512,0.5858342,81.784862,0.3248807,231.23426,25.5179792,1.7982253,3.4861321,0.2271183,42.841,45.15,41.9725,8180.768,1484.87736,1135.5656,-63.2,-40.200166,-215.2,0,123.238186,0,-356.9173672,-182.3076228,-116.4210456,367.5751292,10.823021,11.5892998,14.108,3.7514,3.949,69.2285449,18.4787912,2.4035945
0,0,0,107150540,930569440,32346110,5165474600,7553920.45738,0,1625.98944,6465046.4,697895.38228,0,893.98106,403611.28,0.3464704,1.8900512,0.5858342,81.784862,0.3248807,231.23426,25.5179792,1.7982253,3.4861321,0.2271183,42.7796666666667,45,41.4225,8180.768,1484.87736,1135.5656,-63.2,-40.200166,-215.2,0,123.238186,0,-356.9173672,-182.3076228,-116.4210456,367.5751292,10.823021,11.5892998,14.108,3.7514,3.949,69.2285449,18.4787912,2.4035945
0,0,0,107150540,930569440,32346110,5165474600,7553920.45738,0,1625.98944,6465046.4,697895.38228,0,893.98106,403611.28,0.3464704,1.8900512,0.5858342,81.784862,0.3248807,231.23426,25.5179792,1.7982253,3.4861321,0.2271183,42.7796666666667,45,41.4225,8180.768,1484.87736,1135.5656,-63.2,-40.200166,-215.2,0,123.238186,0,-356.9173672,-182.3076228,-116.4210456,367.5751292,10.823021,11.5892998,14.108,3.7514,3.949,69.2285449,18.4787912,2.4035945
0,0,0,107150540,930569440,32346110,5165474600,7553920.45738,0,1625.98944,6465046.4,697895.38228,0,893.98106,403611.28,0.3464704,1.8900512,0.5858342,81.784862,0.3248807,231.23426,25.5179792,1.7982253,3.4861321,0.2271183,42.7796666666667,45,41.4225,8180.768,1484.87736,1135.5656,-63.2,-40.200166,-215.2,0,123.238186,0,-356.9173672,-182.3076228,-116.4210456,367.5751292,10.823021,11.5892998,14.108,3.7514,3.949,69.2285449,18.4787912,2.4035945
0,0,0,107150540,930569440,32346110,5165474600,7553920.45738,0,1625.98944,6465046.4,697895.38228,0,893.98106,403611.28,0.3464704,1.8900512,0.5858342,81.784862,0.3248807,231.23426,25.5179792,1.7982253,3.4861321,0.2271183,42.7796666666667,45,41.4225,8180.768,1484.87736,1135.5656,-63.2,-40.200166,-215.2,0,123.238186,0,-356.9173672,-182.3076228,-116.4210456,367.5751292,10.823021,11.5892998,14.108,3.7514,3.949,69.2285449,18.4787912,2.4035945
